"0","missing_counts <- colSums(is.na(house))"
"0","missing_cols <- names(which(missing_counts > 1))"
"0","print(""Missing Values:"")"
"1","[1]"
"1"," ""Missing Values:"""
"1","
"
"0","missing_counts"
"1","           Id "
"1","   MSSubClass "
"1","     MSZoning "
"1","  LotFrontage "
"1","      LotArea "
"1","       Street "
"1","        Alley "
"1","     LotShape "
"1","  LandContour "
"1","    Utilities "
"1","
"
"1","            0 "
"1","            0 "
"1","            4 "
"1","          227 "
"1","            0 "
"1","            0 "
"1","         1352 "
"1","            0 "
"1","            0 "
"1","            2 "
"1","
"
"1","    LotConfig "
"1","    LandSlope "
"1"," Neighborhood "
"1","   Condition1 "
"1","   Condition2 "
"1","     BldgType "
"1","   HouseStyle "
"1","  OverallQual "
"1","  OverallCond "
"1","    YearBuilt "
"1","
"
"1","            0 "
"1","            0 "
"1","            0 "
"1","            0 "
"1","            0 "
"1","            0 "
"1","            0 "
"1","            0 "
"1","            0 "
"1","            0 "
"1","
"
"1"," YearRemodAdd "
"1","    RoofStyle "
"1","     RoofMatl "
"1","  Exterior1st "
"1","  Exterior2nd "
"1","   MasVnrType "
"1","   MasVnrArea "
"1","    ExterQual "
"1","    ExterCond "
"1","   Foundation "
"1","
"
"1","            0 "
"1","            0 "
"1","            0 "
"1","            1 "
"1","            1 "
"1","           16 "
"1","           15 "
"1","            0 "
"1","            0 "
"1","            0 "
"1","
"
"1","     BsmtQual "
"1","     BsmtCond "
"1"," BsmtExposure "
"1"," BsmtFinType1 "
"1","   BsmtFinSF1 "
"1"," BsmtFinType2 "
"1","   BsmtFinSF2 "
"1","    BsmtUnfSF "
"1","  TotalBsmtSF "
"1","      Heating "
"1","
"
"1","           44 "
"1","           45 "
"1","           44 "
"1","           42 "
"1","            1 "
"1","           42 "
"1","            1 "
"1","            1 "
"1","            1 "
"1","            0 "
"1","
"
"1","    HeatingQC "
"1","   CentralAir "
"1","   Electrical "
"1","    X1stFlrSF "
"1","    X2ndFlrSF "
"1"," LowQualFinSF "
"1","    GrLivArea "
"1"," BsmtFullBath "
"1"," BsmtHalfBath "
"1","     FullBath "
"1","
"
"1","            0 "
"1","            0 "
"1","            0 "
"1","            0 "
"1","            0 "
"1","            0 "
"1","            0 "
"1","            2 "
"1","            2 "
"1","            0 "
"1","
"
"1","     HalfBath "
"1"," BedroomAbvGr "
"1"," KitchenAbvGr "
"1","  KitchenQual "
"1"," TotRmsAbvGrd "
"1","   Functional "
"1","   Fireplaces "
"1","  FireplaceQu "
"1","   GarageType "
"1","  GarageYrBlt "
"1","
"
"1","            0 "
"1","            0 "
"1","            0 "
"1","            1 "
"1","            0 "
"1","            2 "
"1","            0 "
"1","          730 "
"1","           76 "
"1","           78 "
"1","
"
"1"," GarageFinish "
"1","   GarageCars "
"1","   GarageArea "
"1","   GarageQual "
"1","   GarageCond "
"1","   PavedDrive "
"1","   WoodDeckSF "
"1","  OpenPorchSF "
"1","EnclosedPorch "
"1","   X3SsnPorch "
"1","
"
"1","           78 "
"1","            1 "
"1","            1 "
"1","           78 "
"1","           78 "
"1","            0 "
"1","            0 "
"1","            0 "
"1","            0 "
"1","            0 "
"1","
"
"1","  ScreenPorch "
"1","     PoolArea "
"1","       PoolQC "
"1","        Fence "
"1","  MiscFeature "
"1","      MiscVal "
"1","       MoSold "
"1","       YrSold "
"1","     SaleType "
"1","SaleCondition "
"1","
"
"1","            0 "
"1","            0 "
"1","         1456 "
"1","         1169 "
"1","         1408 "
"1","            0 "
"1","            0 "
"1","            0 "
"1","            1 "
"1","            0 "
"1","
"
"0","sort(missing_cols)"
"1"," [1]"
"1"," ""Alley""       "
"1"," ""BsmtCond""    "
"1"," ""BsmtExposure"""
"1"," ""BsmtFinType1"""
"1"," ""BsmtFinType2"""
"1"," ""BsmtFullBath"""
"1"," ""BsmtHalfBath"""
"1"," ""BsmtQual""    "
"1"," ""Fence""       "
"1","
"
"1","[10]"
"1"," ""FireplaceQu"" "
"1"," ""Functional""  "
"1"," ""GarageCond""  "
"1"," ""GarageFinish"""
"1"," ""GarageQual""  "
"1"," ""GarageType""  "
"1"," ""GarageYrBlt"" "
"1"," ""LotFrontage"" "
"1"," ""MasVnrArea""  "
"1","
"
"1","[19]"
"1"," ""MasVnrType""  "
"1"," ""MiscFeature"" "
"1"," ""MSZoning""    "
"1"," ""PoolQC""      "
"1"," ""Utilities""   "
"1","
"
